id,AcualTime,WatchTime,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz
0,2025-07-03 16:42:13.627,2025-07-03T16:42:13.189876,-2.9161376953125,-2.5043349266052246,8.868123054504395,-0.06719517707824707,0.0,0.004886921960860491,-0.7799999713897705,-35.52000045776367,-15.59999942779541
1,2025-07-03 16:42:13.722,2025-07-03T16:42:13.189876,-2.9161376953125,-2.5043349266052246,8.868123054504395,-0.06719517707824707,0.0,0.004886921960860491,-0.7799999713897705,-35.52000045776367,-15.59999942779541
2,2025-07-03 16:42:13.823,2025-07-03T16:42:13.389785,-2.786850690841675,-2.535459518432617,8.461109161376953,-0.00855211354792118,0.1062905490398407,0.02076941914856434,-0.41999998688697815,-34.2599983215332,-14.880000114440918
3,2025-07-03 16:42:13.925,2025-07-03T16:42:13.490017,-3.1531636714935303,-2.585737943649292,8.724471092224121,0.0012217304902151227,0.07330382615327835,0.05864306539297104,-0.05999999865889549,-33.89999771118164,-15.179999351501465
4,2025-07-03 16:42:14.025,2025-07-03T16:42:13.589904,-3.0142998695373535,-2.6431987285614014,8.9064302444458,0.039095375686883926,0.0024434609804302454,0.11239920556545258,0.0,-33.84000015258789,-15.059999465942383
5,2025-07-03 16:42:14.122,2025-07-03T16:42:13.589904,-3.0142998695373535,-2.6431987285614014,8.9064302444458,0.039095375686883926,0.0024434609804302454,0.11239920556545258,0.0,-33.84000015258789,-15.059999465942383
6,2025-07-03 16:42:14.227,2025-07-03T16:42:13.789808,-2.8371291160583496,-2.7700912952423096,8.039729118347168,-0.019547687843441963,0.0708603709936142,-0.00733038317412138,-0.23999999463558197,-34.55999755859375,-16.079999923706055
7,2025-07-03 16:42:14.321,2025-07-03T16:42:13.890206,-3.0142998695373535,-1.5490485429763794,9.246406555175781,-0.07208210229873657,-0.12950342893600464,0.015882495790719986,-1.1999999284744263,-34.86000061035156,-15.65999984741211
8,2025-07-03 16:42:14.423,2025-07-03T16:42:13.989616,-3.60566782951355,-2.2888567447662354,10.374075889587402,0.2577851414680481,0.010995574295520782,0.0757472887635231,-1.6799999475479126,-34.79999923706055,-16.260000228881836
9,2025-07-03 16:42:14.530,2025-07-03T16:42:14.089742,-2.8778305053710938,-2.8131868839263916,8.286332130432129,0.010995574295520782,-0.16982053220272064,0.15271630883216858,-2.3399999141693115,-35.099998474121094,-15.779999732971191
10,2025-07-03 16:42:14.622,2025-07-03T16:42:14.189783,-3.2417490482330322,-3.2848446369171143,7.12035608291626,0.04642575979232788,0.08552113175392151,-0.04764748737215996,-2.3399999141693115,-34.79999923706055,-15.59999942779541
11,2025-07-03 16:42:14.722,2025-07-03T16:42:14.290221,-2.5498247146606445,-0.5889736413955688,9.742006301879883,-0.09407325088977814,0.10262536257505417,-0.004886921960860491,-1.8600000143051147,-34.439998626708984,-15.719999313354492
12,2025-07-03 16:42:14.820,2025-07-03T16:42:14.389639,-2.8586769104003906,-2.1140801906585693,9.516951560974121,-0.004886921960860491,-0.1771509200334549,-0.10506882518529892,-2.0999999046325684,-34.55999755859375,-15.239999771118164
13,2025-07-03 16:42:14.920,2025-07-03T16:42:14.490064,-2.3774423599243164,-2.87064790725708,9.246406555175781,0.08918632566928864,0.2321287989616394,-0.15882496535778046,-2.2200000286102295,-34.02000045776367,-15.299999237060547
14,2025-07-03 16:42:15.024,2025-07-03T16:42:14.589878,-3.8379054069519043,-3.864241600036621,8.638279914855957,0.0757472887635231,0.13072516024112701,-0.2932153046131134,-2.819999933242798,-34.2599983215332,-15.119999885559082
15,2025-07-03 16:42:15.120,2025-07-03T16:42:14.689842,-3.4332852363586426,-1.8387469053268433,7.977479934692383,-0.02321287989616394,-0.2370157092809677,0.21013765037059784,-2.759999990463257,-34.79999923706055,-15.059999465942383
16,2025-07-03 16:42:15.223,2025-07-03T16:42:14.790066,-2.322375535964966,-1.4317326545715332,10.991780281066895,-0.10262536257505417,0.16859880089759827,0.006108652334660292,-2.0999999046325684,-34.97999954223633,-15.239999771118164
17,2025-07-03 16:42:15.320,2025-07-03T16:42:14.889939,-3.7876269817352295,-1.6950948238372803,11.97100830078125,0.045204028487205505,0.2431243658065796,0.09285151958465576,-1.559999942779541,-34.91999816894531,-15.359999656677246
18,2025-07-03 16:42:15.421,2025-07-03T16:42:14.989815,-3.579331636428833,-2.518700122833252,6.722918510437012,-0.3604104816913605,-0.5644394755363464,0.08674286305904388,-0.47999998927116394,-34.13999938964844,-15.179999351501465
19,2025-07-03 16:42:15.522,2025-07-03T16:42:15.089443,-3.138798475265503,-3.3901896476745605,8.413225173950195,0.03420845419168472,0.019547687843441963,0.2321287989616394,-0.35999998450279236,-33.05999755859375,-15.420000076293945
20,2025-07-03 16:42:15.620,2025-07-03T16:42:15.190252,-3.375824451446533,-1.1276689767837524,6.430825710296631,-0.251676470041275,-0.23335053026676178,-0.06475171446800232,-0.7799999713897705,-32.279998779296875,-15.420000076293945
21,2025-07-03 16:42:15.720,2025-07-03T16:42:15.289864,-2.3535003662109375,-2.9257144927978516,8.786720275878906,0.009773843921720982,0.1514945775270462,-0.29077184200286865,-1.0199999809265137,-32.15999984741211,-15.65999984741211
22,2025-07-03 16:42:15.820,2025-07-03T16:42:15.390324,-3.7828385829925537,-2.3247697353363037,9.033323287963867,0.042760565876960754,0.05619960278272629,-0.24923302233219147,-2.1599998474121094,-32.459999084472656,-16.19999885559082
23,2025-07-03 16:42:15.920,2025-07-03T16:42:15.489944,-3.423708438873291,-1.5466543436050415,6.976703643798828,0.06963863968849182,0.2675589919090271,0.11362093687057495,-2.1599998474121094,-33.0,-15.839999198913574
24,2025-07-03 16:42:16.020,2025-07-03T16:42:15.589567,-2.513911724090576,-3.797203779220581,11.23598861694336,-0.2883284091949463,-0.16859880089759827,0.12095131725072861,-1.7999999523162842,-33.47999954223633,-15.539999961853027
25,2025-07-03 16:42:16.119,2025-07-03T16:42:15.689908,-3.2321722507476807,-3.294421434402466,8.755595207214355,-0.17592918872833252,-0.04153883829712868,0.08918632566928864,-1.6799999475479126,-33.65999984741211,-15.539999961853027
