Ax watch,Ay watch,Az watch,Gx watch,Gy watch,Gz watch,Ax esense,Ay esense,Az esense,Gx esense,Gy esense,Gz esense
-5.068524837,-10.42195988,5.669469833,-0.24678956,0.118507855,0.394618958,-6726,-5111,894,-853,1598,-1148
-5.212177277,-8.226476669,5.999869347,-1.646892667,-0.105068825,-0.449596822,-6587,-4437,985,679,-129,761
-4.326322556,0.349553436,8.916007042,-1.092227101,-0.138055548,0.383623362,-6857,-4616,1011,366,260,-160
-4.326322556,0.349553436,8.916007042,-1.092227101,-0.138055548,0.383623362,-6739,-4672,962,177,196,-302
-4.034229755,2.968810081,11.43231297,-2.039068222,-0.438601255,0.563217759,-7028,-4656,910,-74,163,239
-4.034229755,2.968810081,11.43231297,-2.039068222,-0.438601255,0.563217759,-6841,-4277,896,379,249,295
-4.797980309,2.987963676,7.522581577,4.607145786,-0.040317107,0.042760566,-6625,-4498,1252,309,18,-293
-3.531447411,0.158017308,10.76672459,-5.621181965,-0.219911486,0.593761027,-7013,-4713,1514,543,-190,307
-3.555389643,-6.143521786,5.623979568,-2.246762276,-0.155159771,0.663399637,-6968,-4694,1675,249,-328,318
-3.799597979,-2.384624958,10.3166151,-4.520402908,-0.029321533,0.036651913,-7029,-4673,1519,-94,510,468
-4.101267338,-2.875436306,6.373364925,0.769690216,0.273667634,-0.189368233,-7220,-4383,1648,36,-97,75
-3.481169224,4.141968727,9.83777523,2.976135492,-0.366519153,-0.494800836,-6896,-4247,1412,-306,42,-307
-2.8993783,-2.45405674,8.999804497,-2.465452194,0.343306273,0.087964594,-7191,-4227,1855,297,14,119
-3.883395195,-4.489128113,8.724471092,-0.807563841,0.097738437,0.36774087,-6879,-4274,1512,1,125,-163
-4.060565948,-4.101267338,6.727706909,2.153910875,-0.042760566,-0.124616511,-6870,-4249,1849,-60,-74,260
-4.797980309,-2.647987127,6.852205276,1.36100781,0.014660766,0.072082102,-6920,-4514,1885,-49,-229,-817
-3.49553442,-1.618480325,8.221688271,-1.606575608,0.351858377,0.29810223,-6569,-4740,1860,96,377,301
-2.434903145,-4.110844135,4.034229755,-2.20522356,0.96028018,0.054977871,-6991,-4502,1766,-104,-331,254
-4.644751072,-6.734889507,3.138798475,-2.262644768,0.586430609,0.238237441,-6936,-4571,1711,106,-215,-526
-4.359841347,-9.789890289,11.26950741,0.659734488,-0.255341679,-0.829554975,-6963,-4593,1920,-568,336,368
-6.438008308,-7.673416615,5.556941986,-0.309097826,0.2846632,-0.900415361,-7033,-4446,1761,-309,381,339
-1.987187386,-9.947908401,3.351882458,-0.841772318,-1.426981211,-0.041538838,-6607,-4581,1523,-644,376,-828
-1.845929503,-4.352658749,8.458714485,0.845437527,0.172263995,-0.02321288,-6480,-5365,1548,-535,799,-1628
-3.541024208,-6.689399719,6.847416878,0.25167647,-0.120951317,0.041538838,-6971,-5025,1504,253,-18,-236
-4.599261284,-3.287238836,6.849811077,0.598647952,0.625526011,1.740965962,-7232,-4954,2910,601,-1358,-989
-5.856217384,-0.984016895,5.7963624,0.372627795,0.723264456,1.584584475,-6532,-4333,2549,901,-1645,-2657
-7.328651428,0.471657723,6.172252178,0.218689755,0.546113551,1.271821499,-6302,-4785,2792,-435,-831,-1603
-7.065289021,2.664746523,5.702988625,0.511905074,0.260228604,0.362853944,-6328,-5425,2371,-1315,1135,541
